kb_id,topic,title
1,data_export,Data exports and reports: Csv Export Missing Rows
2,password_reset,Password reset and account recovery: 2Fa Code Not Arriving
3,billing_refund,"Billing, invoices and refunds: Refund Status"
4,billing_refund,"Billing, invoices and refunds: Duplicate Charge"
5,data_export,Data exports and reports: Columns Incorrect
6,password_reset,Password reset and account recovery: Locked Out
7,mobile_crash,Mobile app crashes and performance: Crashes On Launch
8,password_reset,Password reset and account recovery: Reset Link Expired
10,sso_setup,Single sign-on (SSO) setup: Redirect Loop
12,billing_refund,"Billing, invoices and refunds: Update Card"
13,mobile_crash,Mobile app crashes and performance: Blank Screen
14,mobile_crash,Mobile app crashes and performance: Battery Drain
15,vpn_connect,VPN connection troubleshooting: Disconnects Frequently
16,billing_refund,"Billing, invoices and refunds: Payment Failed"
17,vpn_connect,VPN connection troubleshooting: Split Tunneling
20,password_reset,Password reset and account recovery: Password Rules
